Title,Abstract,Relevance
Measuring and Improving Agile Processes in a Small-Size Software Development Company,"Context: Agile software development has become commonplace in software development companies due to the numerous benefits it provides. However, conducting Agile projects is demanding in Small and Medium Enterprises (SMEs), because projects start and end quickly, but still have to fulfil customers' quality requirements. Objective: This paper aims at reporting a practical experience on the use of metrics related to the software development process as a means supporting SMEs in the development of software following an Agile methodology. Method: We followed Action-Research principles in a Polish small-size software development company. We developed and executed a study protocol suited to the needs of the company, using a pilot case. Results: A catalogue of Agile development process metrics practically validated in the context of a small-size software development company, adopted by the company in their Agile projects. Conclusions: Practitioners may adopt these metrics in their Agile projects, especially if working in an SME, and customise them to their own needs and tools. Academics may use the findings as a baseline for new research work, including new empirical studies.",0
An Action Research for Improving the Sustainability Assessment Framework Instruments,"In the last years, software engineering researchers have defined sustainability as a quality requirement of software, but not enough effort has been devoted to develop new methods/techniques to support the analysis and assessment of software sustainability. In this study, we present the Sustainability Assessment Framework (SAF) that consists of two instruments: the software sustainability&ndash;quality model, and the architectural decision map. Then, we use participatory and technical action research in close collaboration with the software industry to validate the SAF regarding its applicability in specific cases. The unit of analysis of our study is a family of software products (Geographic Information System- and Mobile-based Workforce Management Systems) that aim to address sustainability goals (e.g., efficient collection of dead animals to mitigate social and environmental sustainability risks). The results show that the sustainability&ndash;quality model integrated with the architectural decision maps can be used to identify sustainability&ndash;quality requirements as design concerns because most of its quality attributes (QAs) have been either addressed in the software project or acknowledged as relevant (i.e., creating awareness on the relevance of the multidimensional sustainability nature of certain QAs). Moreover, the action&ndash;research method has been helpful to enrich the sustainability&ndash;quality model, by identifying missing QAs (e.g., regulation compliance, data privacy). Finally, the architectural decision maps have been found as useful to guide software architects/designers in their decision-making process.",0
Using Participatory Technical-action-research to validate a Software Sustainability Model,"[Context and Motivation] In the last years,software engineering researchers have contributed to defining the notion of sustainability-aware software as a quality requirement. [Question/problem] The field is,however, still missing instruments supporting the design and assessment of software sustainability.[Objective] This research aims at providing a validated Sustainability Assessment Framework (SAF) through along-term empirical study in close-collaboration with the software industry. [Methodology] By using the participatory technical action-research method, we validate the sustainability-quality model, one of the instruments of the SAF framework, by means of investigating its applicability in an industrial software project and detecting potential improvements.[Results] Our results confirm the effective applicability of our model as most of its quality attributes (QAs) have been either addressed in the software project or acknowledged as relevant. The action-research method was also very useful for enriching our model by identifying QAs missing in the model (e.g. regulation compliance, data privacy).[Contribution] The sustainability-quality model can be effectively used as an instrument for identifying sustainability-quality requirements, and creating awareness on the relevance of the multidimensional sustainability nature of certain quality attributes.",0
Towards Automated Detection of Data Pipeline Faults,"Data pipelines play an important role throughout the data management process. It automates the steps ranging from data generation to data reception thereby reducing the human intervention. A failure or fault in a single step of a data pipeline has cascading effects that might result in hours of manual intervention and clean-up. Data pipeline failure due to faults at different stages of data pipelines is a common challenge that eventually leads to significant performance degradation of data-intensive systems. To ensure early detection of these faults and to increase the quality of the data products, continuous monitoring and fault detection mechanism should be included in the data pipeline. In this study, we have explored the need for incorporating automated fault detection mechanisms and mitigation strategies at different stages of the data pipeline. Further, we identified faults at different stages of the data pipeline and possible mitigation strategies that can be adopted for reducing the impact of data pipeline faults thereby improving the quality of data products. The idea of incorporating fault detection and mitigation strategies is validated by realizing a small part of the data pipeline using action research in the analytics team at a large software-intensive organization within the telecommunication domain.",0
Guiding the selection of research methodology in industry?academia collaboration in software engineering,"Background: The literature concerning research methodologies and methods has increased in software engineering in the last decade. However, there is limited guidance on selecting an appropriate research methodology for a given research study or project. Objective: Based on a selection of research methodologies suitable for software engineering research in collaboration between industry and academia, we present, discuss and compare the methodologies aiming to provide guidance on which research methodology to choose in a given situation to ensure successful industry?academia collaboration in research. Method: Three research methodologies were chosen for two main reasons. Design Science and Action Research were selected for their usage in software engineering. We also chose a model emanating from software engineering, i.e., the Technology Transfer Model. An overview of each methodology is provided. It is followed by a discussion and an illustration concerning their use in industry?academia collaborative research. The three methodologies are then compared using a set of criteria as a basis for our guidance. Results: The discussion and comparison of the three research methodologies revealed general similarities and distinct differences. All three research methodologies are easily mapped to the general research process describe?solve?practice, while the main driver behind the formulation of the research methodologies is different. Thus, we guide in selecting a research methodology given the primary research objective for a given research study or project in collaboration between industry and academia. Conclusions: We observe that the three research methodologies have different main objectives and differ in some characteristics, although still having a lot in common. We conclude that it is vital to make an informed decision concerning which research methodology to use. The presentation and comparison aim to guide selecting an appropriate research methodology when conducting research in collaboration between industry and academia.",0
Model-based testing in practice: An experience report from the web applications domain,"In the context of a software testing company, we have deployed the model-based testing (MBT) approach to take the company?s test automation practices to higher levels of maturity and capability. We have chosen, from a set of open-source/commercial MBT tools, an open-source tool named GraphWalker, and have pragmatically used MBT for end-to-end test automation of several large web and mobile applications under test. The MBT approach has provided, so far in our project, various tangible and intangible benefits in terms of improved test coverage (number of paths tested), improved test-design practices, and also improved real-fault detection effectiveness. The goal of this experience report (applied research report), done based on ?action research?, is to share our experience of applying and evaluating MBT as a software technology (technique and tool) in a real industrial setting. We aim at contributing to the body of empirical evidence in industrial application of MBT by sharing our industry-academia project on applying MBT in practice, the insights that we have gained, and the challenges and questions that we have faced and tackled so far. We discuss an overview of the industrial setting, provide motivation, explain the events leading to the outcomes, discuss the challenges faced, summarize the outcomes, and conclude with lessons learned, take-away messages, and practical advices based on the described experience. By learning from the best practices in this paper, other test engineers could conduct more mature MBT in their test projects.",0
On the Experiences of Adopting Automated Data Validation in an Industrial Machine Learning Project,"Background: Data errors are a common challenge in machine learning (ML) projects and generally cause significant performance degradation in ML-enabled software systems. To ensure early detection of erroneous data and avoid training MLmodels using bad data, research and industrial practice suggest incorporating a data validation process and tool in the ML system development process. Aim: The study investigates the adoption of a data validation process and tool in industrial ML projects. The data validation process demands significant engineering resources for tool development and maintenance. Thus, it is important to identify the best practices for their adoption especially by development teams that are in the early phases of deploying ML-enabled software systems. Method: Action research was conducted at a large-software intensive organization in telecommunications, specifically within the analytics R&D organization for an ML use case of classifying faults from returned hardware telecommunication devices. Results: Based on the evaluation results and learning from our action research, we identified three best practices, three benefits, and two barriers to adopting the data validation process and tool in ML projects. We also propose a data validation framework(DVF) for systematizing the adoption of a data validation process. Conclusions: The results show that adopting a data validation process and tool in ML projects is an effective approach to testing ML-enabled software systems. It requires having an overview of the level of data (feature, dataset, cross-dataset, data stream) at which certain data quality tests can be applied.",0
Automotive UX design and data-driven development: Narrowing the gap to support practitioners,"The development and evaluation of In-Vehicle Information Systems (IVISs) is strongly based on insights from qualitative studies conducted in artificial contexts (e.g., driving simulators or lab experiments). However, the growing complexity of the systems and the uncertainty about the context in which they are used, create a need to augment qualitative data with quantitative data, collected during real-world driving. In contrast to many digital companies that are already successfully using data-driven methods, Original Equipment Manufacturers (OEMs) are not yet succeeding in releasing the potentials such methods offer. We aim to understand what prevents automotive OEMs from applying data-driven methods, what needs practitioners formulate, and how collecting and analyzing usage data from vehicles can enhance UX activities. We adopted a Multiphase Mixed Methods approach comprising two interview studies with more than 15 UX practitioners and two action research studies conducted with two different OEMs. From the four studies, we synthesize the needs of UX designers, extract limitations within the domain that hinder the application of data-driven methods, elaborate on unleveraged potentials, and formulate recommendations to improve the usage of vehicle data. We conclude that, in addition to modernizing the legal, technical, and organizational infrastructure, UX and Data Science must be brought closer together by reducing silo mentality and increasing interdisciplinary collaboration. New tools and methods need to be developed and UX experts must be empowered to make data-based evidence an integral part of the UX design process.",0
Realizing the systematic reuse of automated acceptance tests in practice,"Context: Automated acceptance testing has become a relevant practice of agile software development (e.g., Extreme Programming). Automated acceptance tests (AATs) are closely tied to requirements and provide a mechanism for continuous validation of requirements as system-level tests. Studies have shown that these tests are costly to develop, maintain, and reuse.Objectives: This thesis examines and supports the systematic reuse of automated acceptance tests by providing approaches to search, identity, adapt reusable test cases while considering the reuse costs. Additionally, the maintainability and usage of automated acceptance tests in largescale software projects are studied.Method: We used various research methods to investigate development, reuse, and maintaining the automated acceptance tests. Workshops and interviews of practitioners were used to identify the benefits and challenges of automated acceptance tests. Next, method engineering was used to construct a systematic reuse process for automated acceptance tests. Qualitative feedback collected using a survey, and industrial demonstration examined the reuse process?s performance expectancy, effort expectancy, and necessary facilitating conditions. Two systematic literature reviews are used to identify techniques to adapt tests for future reuse opportunities and calculate the reuse costs of automated acceptance tests. Later, we developed and evaluated an approach for refactoring behavior-driven development-based automated acceptance tests using action research.Results: A cost-aware systematic reuse process was constructed to support the reuse of automated acceptance tests containing eleven activities. For each activity, guidelines on expected input, expected output, the actors performing the activity, and techniques (automated using scripts) are suggested and evaluated. The techniques involve approaches to support development for reuse and methods to calculate the costs of reusing automated acceptance tests. The industrial evaluation of the reuse process and the techniques showed its usefulness and relevance for the industry. Furthermore, seven challenges (i.e., the scale of the software projects, ownership, lack of competence, cost benefits, specification of behaviors in large-scale projects, difficulty writing system-level test-cases, and versioning control of behaviors) and five benefits (i.e., understanding of a business aspect of requirements, improved quality of requirements, a guide to system-level use-cases, reuse of artifacts in large-scale projects, and help for test organization.) of using automated acceptance tests in large-scale projects are identified with software practitioners? help. Later, we proposed a semiautomated four-step approach for pre-processing, measuring, ranking, and identifying refactoring candidates. The approach and the two proposed measures were successfully evaluated using two industrial projects. It was noted that similarity measures could support the maintenance of the specification base using refactoring.Conclusions: The studies show that automated acceptance tests are reusable and can be refactored using our proposed approach. The evaluation shows that the results apply to the software industry in the evaluated context. However, further work is required to evaluate the reuse process in different contexts.",0
"The Diversity of Gamification Evaluation in the Software Engineering Education and Industry: Trends, Comparisons and Gaps","Context: gamification has been used to motivate and engage participants in software engineering education and practice activities. Problem: There is a significant demand for empirical studies for the understanding of the impacts and efficacy of gamification. However, the lack of standard procedures and models for the evaluation of gamification is a challenge for the design, comparison, and report of results related to the assessment of gamification approaches and its effects. Goal: The goal of this study is to identify models and strategies for the evaluation of gamification reported in the literature. Method: To achieve this goal, we conducted a systematic mapping study to investigate strategies for the evaluation of gamification in the context of software engineering. We selected 100 primary studies on gamification in software engineering (from 2011 to 2020). We categorized the studies regarding the presence of evaluation procedures or models for the evaluation of gamification, the purpose of the evaluation, the criteria used, the type of data, instruments, and procedures for data analysis. Results: Our results show that 64 studies report procedures for the evaluation of gamification. However, only three studies actually propose evaluation models for gamification. We observed that the evaluation of gamification focuses on two aspects: the evaluation of the gamification strategy itself, related to the user experience and perceptions; and the evaluation of the outcomes and effects of gamification on its users and context. The most recurring criteria for the evaluation are ""engagement"", ""performance"", ""satisfaction"", and ""motivation"". Finally, the evaluation of gamification requires a mix of subjective and objective inputs, and qualitative and quantitative data analysis approaches. Depending of the focus of the evaluation (the strategy or the outcomes), there is a predominance of a type of data and analysis.",0
Toward Efficient Academia-Industry Collaboration: A Case Study of Joint VR System Development,"Collaborative academia-industry development and evaluation of virtual reality (VR) systems is a mutually beneficial opportunity to investigate VR technology in a real context and conduct user studies with target users. However, such collaboration is rarely performed due to variations in project pace and work methods. In this article, we introduce the process of action research on joint design, development, and evaluation of a collaborative VR system to address industrial needs. The paper further presents employees? subjective opinions and perceived value of industrial VR applications and reflects on their involvement throughout the process. The article concludes with a process-oriented framework for remote academia-industry collaboration, supported with practical suggestions on how to support this collaboration. Our experiences reveal the methods and advantages of remote collaboration in all phases of the process and signify the efficiency of the remote framework for academia-industry collaboration, especially relevant in the light of the COVID-19 pandemia..",0
From Blackboard to the Office: A Look Into How Practitioners Perceive Software Testing Education,"The teaching-learning process may require specific pedagogical approaches to establish a relationship with industry practices. Recently, some studies investigated the educators? perspectives and the undergraduate courses curriculum to identify potential weaknesses and solutions for the software testing teaching process. However, it is still unclear how the practitioners evaluate the acquisition of knowledge about software testing in undergraduate courses. This study carried out an expert survey with 68 newly graduated practitioners to determine what the industry expects from them and what they learned in academia. The yielded results indicated that those practitioners learned at a similar rate as others with a long industry experience. Also, they studied less than half of the 35 software testing topics collected in the survey and took industry-backed extracurricular courses to complement their learning. Additionally, our findings point out a set of implications for future research, as the respondents? learning difficulties (e.g., lack of learning sources) and the gap between academic education and industry expectations (e.g., certifications).",0
Factors for Adopting and Implementing Accessibility as a Cornerstone in Software Development Processes in Organizations,"Due to the increasing prevalence of laws, standards, and ethical discussions about web accessibility, developing websites and apps that are usable to everyone?regardless of disability and impairment?is more important than ever. In spite of this, most of the web is still inaccessible and accessibility is commonly treated as an afterthought. The aim of this thesis is to investigate how to implement web accessibility as a cornerstone of software development processes, and more specifically what motivates accessibility adoption and how to implement it successfully.The main part of the research consists of an extensive analysis of the literature to identify common themes. Although legislation and financial concerns play a role in why organizations adopt accessibility, the most frequently cited factors are social and ethical aspects as well as reaching a wider audience. The success of accessibility implementation is largely dependent on how knowledge is created, maintained, and disseminated in organizations. Prioritizing it and integrating it as much as any other basic requirement is also a key to success. Moreover, WCAG 2.1 Level AA is the recommended accessibility standard and compliance level, as informed by a law review and insights from literature. In addition, semi-structured interviews and a workshop were conducted with participants across three projects of a Swedish IT company with the aim of applying the findings in a real-life context and bringing about change in the organization.Final suggestions were based on the thematic analysis, and adapted to the case company through the insights from interviews and the workshop, as well as process documentation and corporate policies. Although not generalizable to all organizations, the suggestions provide understanding of enterprises sharing the case company?s characteristics. Furthermore, the thematic analysis and law review have relevance for all types of private organizations.",0
Concept Analysis in Programming Language Research: Done Well It is All Right,"Programming language research is becoming method conscious. Rigorous mathematical or empirical evaluation is often demanded, which is a good thing. However, I argue in this essay that concept analysis is a legitimate research approach in programming languages, with important limitations. It can be used to sharpen vague concepts, and to expose distinctions that have previously been overlooked, but it does not demonstrate the superiority of one language design over another. Arguments and counter-arguments are essential to successful concept analysis, and such thoughtful conversations should be published more.",0
"Exploring the Interconnectivity of Risk Management, the Human Element, and Action Research: A Canadian Arctic Perspective","In recent decades, the shipping industry, described by the International Maritime Organization (IMO) [1] as ?the most international of all the world?s great industries and one of the most dangerous? (p. 401) has undergone significant change and momentous growth, improved training, and substantial regulatory oversight. Extensive risk management (RM) protocol notwithstanding, accidents still occur [2, 3], with 75% deriving from human factors [4, 5]. In a fundamentally people-based industry, RM and the Human Element, and therefore potential Human Error (HE), are intrinsically linked. Maritime RM is highly regulated with the ISM Code, MARPOL, SOLAS, and the IMO?s Formal Safety Assessment (FSA) process all examples of the regulations and guidelines designed to proactively offset risk and prevent tragedy. Nevertheless, traditional maritime sector RM protocol relies heavily upon historical data which, in addition to the inherent undesirability of dependency, involves multiple other weaknesses. HE has been likened to a breakdown in technical reliability [7] where humans, in their susceptibility to inappropriate response in the face of disturbances to normal operations, act essentially as risk factors [6]. Recent perspectives on safety increasingly consider the Human Element as only one of a ?network of errors? in a safety causation chain [7, p. 14]. In the Arctic, where unknowns are extensive and experience navigating them is not, this distinction is especially noteworthy. Strengthened and deeper connection with the Human Element, in conjunction with databank reinforcement and population, therefore appear fundamental to safety improvement efforts [6]. With particular focus on the Arctic, this paper explores whether Action Research is an appropriate methodology to (i) improve facilitation of tasks identified as necessary to mitigating the insufficiency of existing historical databases and (ii) contribute to safety improvement efforts and augment current RM protocol by bringing together the knowledge base of maritime stakeholders as representatives of the Human Element. 18th Annual General Assembly 2017 International Association of Maritime Universities (IAMU)",0
Data management and Data Pipelines: An empirical investigation in the embedded systems domain,"Context: Companies are increasingly collecting data from all possible sources to extract insights that help in data-driven decision-making. Increased data volume, variety, and velocity and the impact of poor quality data on the development of data products are leading companies to look for an improved data management approach that can accelerate the development of high-quality data products. Further, AI is being applied in a growing number of fields, and thus it is evolving as a horizontal technology. Consequently, AI components are increasingly been integrated into embedded systems along with electronics and software. We refer to these systems as AI-enhanced embedded systems. Given the strong dependence of AI on data, this expansion also creates a new space for applying data management techniques.  Objective: The overall goal of this thesis is to empirically identify the data management challenges encountered during the development and maintenance of AI-enhanced embedded systems, propose an improved data management approach and empirically validate the proposed approach. Method: To achieve the goal, we conducted this research in close collaboration with Software Center companies using a combination of different empirical research methods: case studies, literature reviews, and action research. Results and conclusions: This research provides five main results. First, it identifies key data management challenges specific to Deep Learning models developed at embedded system companies. Second, it examines the practices such as DataOps and data pipelines that help to address data management challenges. We observed that DataOps is the best data management practice that improves the data quality and reduces the time tdevelop data products. The data pipeline is the critical component of DataOps that manages the data life cycle activities. The study also provides the potential faults at each step of the data pipeline and the corresponding mitigation strategies. Finally, the data pipeline model is realized in a small piece of data pipeline and calculated the percentage of saved data dumps through the implementation. Future work: As future work, we plan to realize the conceptual data pipeline model so that companies can build customized robust data pipelines. We also plan to analyze the impact and value of data pipelines in cross-domain AI systems and data applications. We also plan to develop AI-based fault detection and mitigation system suitable for data pipelines.",0
Inventorying Systems: An Action Research.,"Maintainability, characterized by ease of understanding, is strongly related to the availability of correct and update information about th e system and the ease of maintenance staff in understanding it. The Brazilian public administration has many legacy systems in maintenance whose documentation is non-existent or incomplete. The main purpose of this work was to identify the inventorying attributes that have to be recorded to support systems maintenance. The me thodology applied was action research whose cycles allowed identifying the attributes required by each one of the stakeholders, civil servants and providers to inventory the systems, as well as how to register and access their attributes. As a result, the set of attributes produced by the interaction between researchers and stakeholders was considered essential to the infrastructure and systems areas, managers, and providers.",0
Towards Lean Service sustainability: an action research approach,"This thesis argues that the sustainability of Lean philosophy adoption depends on following a systemic and holistic thinking, combining Lean technical and social dimensions. Based on the constructivism research paradigm, the study was supported on the Action Research methodology (AR), particularly the Canonical Action Research method (CAR). Acknowledging on lessons learned from two research cycles, the evolving approach to applying and sustaining Lean in a financial services provider was performed. The result was positive and the innovative approach followed was coined as Lean Service System Approach (LSSA). It combines the standard roadmap in Lean Leap model with Lean Service Critical Success Factors, covering the four perspectives of organisation, people, process and customer, within continuous improvement cycles. This approach was able to anchor Lean in the organisation over time and answered the research question of how to sustain Lean thinking in service organisations. Future research perspectives were also identified to foster further contributions to the Lean community, practitioners and academia.",0
